# label=2016B1_v9_Data
# source=root://cms-xrd-global.cern.ch//store/data/Run2016B/JetHT/NANOAOD/ver1_HIPM_UL2016_MiniAODv2_NanoAODv9-v2/2430000/877D2E27-E1EB-6244-BBCC-1730058E95A4.root
# columns: tree	branch	type	lenVar
Events	HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55	Bool_t	
Events	HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf	Bool_t	
Events	HLT_DoubleEle33_CaloIdL	Bool_t	
Events	HLT_DoubleEle33_CaloIdL_GsfTrkIdVL	Bool_t	
Events	HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW	Bool_t	
Events	HLT_DoubleEle33_CaloIdL_MW	Bool_t	
Events	HLT_DoubleEle37_Ele27_CaloIdL_GsfTrkIdVL	Bool_t	
Events	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT250	Bool_t	
Events	HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300	Bool_t	
Events	HLT_DoubleIsoMu17_eta2p1	Bool_t	
Events	HLT_DoubleIsoMu17_eta2p1_noDzCut	Bool_t	
Events	HLT_DoubleJet90_Double30_DoubleBTagCSV_p087	Bool_t	
Events	HLT_DoubleJet90_Double30_TripleBTagCSV_p087	Bool_t	
Events	HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6	Bool_t	
Events	HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160	Bool_t	
Events	HLT_DoubleJetsC100_SingleBTagCSV_p014	Bool_t	
Events	HLT_DoubleJetsC100_SingleBTagCSV_p014_SinglePFJetC350	Bool_t	
Events	HLT_DoubleJetsC100_SingleBTagCSV_p026	Bool_t	
Events	HLT_DoubleJetsC100_SingleBTagCSV_p026_SinglePFJetC350	Bool_t	
Events	HLT_DoubleJetsC112_DoubleBTagCSV_p014_DoublePFJetsC112MaxDeta1p6	Bool_t	
Events	HLT_DoubleJetsC112_DoubleBTagCSV_p026_DoublePFJetsC172	Bool_t	
Events	HLT_DoubleMediumIsoPFTau32_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg	Bool_t	
Events	HLT_DoubleMu18NoFiltersNoVtx	Bool_t	
Events	HLT_DoubleMu23NoFiltersNoVtxDisplaced	Bool_t	
Events	HLT_DoubleMu28NoFiltersNoVtxDisplaced	Bool_t	
Events	HLT_DoubleMu33NoFiltersNoVtx	Bool_t	
Events	HLT_DoubleMu38NoFiltersNoVtx	Bool_t	
Events	HLT_DoubleMu4_3_Bs	Bool_t	
Events	HLT_DoubleMu4_3_Jpsi_Displaced	Bool_t	
Events	HLT_DoubleMu4_JpsiTrk_Displaced	Bool_t	
Events	HLT_DoubleMu4_LowMassNonResonantTrk_Displaced	Bool_t	
Events	HLT_DoubleMu4_PsiPrimeTrk_Displaced	Bool_t	
